# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(15873159511/2235025,2004390120811116/3341362375)
(9398038366/6734025,1152600090864211/17474794875)
(10356733031/70225,1053984641974304/18609625)
(10731236471/27889,1111666846270748/4657463)
(7526797043/3690241,713047413308962/7088952961)
(10188269689/1089936,1029399980691149/1137893184)
(26334088402/5121169,4299010933777641/11589205447)
(16406601409/3534400,2118569589267423/6644672000)
(29939591704/790321,5180543555006541/702595369)
(4045403008/9418761,1195833618725113/28906177509)
(8613966569/3422500,839401000160747/6331625000)
(-2682397436/17682025,3000681652996137/74352915125)
(11513711873/732736,1235703765052543/627222016)
(-5884525999/6100900,408503916788999/15069223000)
(19411898108/90601,2704593753305303/27270901)
